Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,4,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,2,4,24,8,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
5,2,4,33,8,HIT_MUD,false,0,2,0,0,0,,,0,0,-6
6,2,3,40,8,TURNING_LEFT,false,0,2,0,0,0,,,0,0,-6
7,2,3,48,8,ACCELERATING,false,0,2,0,0,0,,,0,0,-6
8,2,3,56,8,ACCELERATING,false,0,2,0,0,0,,,1,0,-2
9,2,3,64,6,HIT_MUD,false,0,3,0,0,1,,,1,1,3
10,2,3,70,6,USED_LIZARD,false,0,3,0,0,0,,,1,1,3
11,2,3,76,6,ACCELERATING,false,0,3,0,0,0,,,1,1,3
12,2,3,82,3,HIT_MUD,false,0,4,0,0,0,,,1,1,0
13,2,3,85,3,ACCELERATING,false,0,4,0,0,0,,,2,1,4
14,2,3,88,3,ACCELERATING,false,0,4,0,1,0,,,2,1,8
15,2,3,91,3,ACCELERATING,false,0,4,0,1,0,,,2,1,8
16,2,3,94,3,ACCELERATING,false,0,4,0,1,0,,,2,1,8
17,2,3,97,3,ACCELERATING,false,0,4,0,1,0,,,2,1,8
18,2,3,100,3,ACCELERATING,false,0,4,0,1,0,,,2,1,8
19,2,3,103,3,ACCELERATING,false,0,4,0,1,0,,,2,1,8
20,2,3,106,3,ACCELERATING,false,0,4,0,1,0,,,2,1,8
21,2,3,109,3,ACCELERATING,false,0,4,0,1,0,,,2,1,8
22,2,3,112,3,ACCELERATING,false,0,4,0,1,0,,,2,1,8
23,2,3,115,3,ACCELERATING,false,0,4,0,1,0,,,2,1,8
24,2,3,118,3,ACCELERATING,false,0,4,0,1,0,,,2,1,8
25,2,3,121,3,ACCELERATING,false,0,4,0,1,0,,,2,1,8
26,2,3,124,3,ACCELERATING,false,0,4,0,1,0,,,2,2,12
27,2,3,127,3,ACCELERATING,false,0,4,0,1,0,,,2,2,12
28,2,3,130,0,HIT_MUD,false,0,5,0,1,0,,,2,2,9
29,2,3,130,0,FIXED_CAR,false,0,3,0,1,0,,,2,2,9
30,2,3,133,3,ACCELERATING,false,0,3,0,1,0,,,2,2,9
31,2,3,139,6,ACCELERATING,false,0,3,0,1,0,,,2,2,9
32,2,3,145,6,ACCELERATING,false,0,3,0,1,0,,,2,2,9
33,2,3,151,6,ACCELERATING,false,0,3,0,1,0,,,2,2,9
34,2,3,157,6,ACCELERATING,false,0,3,0,1,1,,,2,2,13
35,2,3,163,6,ACCELERATING,false,0,3,0,1,1,,,2,2,13
36,2,3,169,6,USED_LIZARD,false,0,3,0,1,0,,,2,2,13
37,2,3,175,3,HIT_MUD,false,0,4,0,1,0,,,2,2,10
38,2,3,178,3,ACCELERATING,false,0,4,1,1,0,,,2,2,14
39,2,3,181,0,HIT_MUD,false,0,5,1,1,0,,,2,2,11
40,2,3,181,0,FIXED_CAR,false,0,3,1,1,0,,,2,2,11
41,2,3,184,3,ACCELERATING,false,0,3,1,1,0,,,2,2,11
42,2,3,190,3,HIT_MUD,false,0,4,1,1,0,,,3,2,12
43,2,3,193,0,HIT_MUD,false,0,5,1,1,0,,,4,2,13
44,2,3,193,0,FIXED_CAR,false,0,3,1,1,0,,,4,2,13
45,2,3,196,3,ACCELERATING,false,0,3,1,1,0,,,4,2,13
46,2,3,202,6,ACCELERATING,false,0,3,1,1,0,,,4,3,17
47,2,3,208,6,USED_BOOST,true,5,3,0,1,0,,,4,3,21
48,2,3,214,6,ACCELERATING,true,4,3,0,1,1,,,4,3,25
49,2,3,220,6,ACCELERATING,true,3,3,0,1,1,,,4,3,25
50,2,3,226,6,ACCELERATING,true,2,3,0,1,1,,,4,3,25
51,2,3,232,6,ACCELERATING,true,1,3,0,1,1,,,4,4,29
52,2,3,238,6,ACCELERATING,false,0,3,0,1,1,,,4,4,29
53,2,3,244,0,HIT_WALL,false,0,5,0,1,1,,,4,4,24
54,2,3,244,0,FIXED_CAR,false,0,3,0,1,1,,,4,4,24
55,2,3,247,3,ACCELERATING,false,0,3,0,1,1,,,4,4,24
56,2,3,253,6,ACCELERATING,false,0,3,0,1,1,,,4,4,24
57,2,3,259,6,ACCELERATING,false,0,3,0,1,1,,,4,4,24
58,2,3,265,6,ACCELERATING,false,0,3,0,1,1,,,4,5,28
59,2,3,271,6,USED_LIZARD,false,0,3,0,1,0,,,5,5,32
60,2,3,277,3,HIT_MUD,false,0,4,0,1,0,,,5,5,29
61,2,3,280,3,ACCELERATING,false,0,4,0,1,0,,,5,5,29
62,2,3,283,3,ACCELERATING,false,0,4,0,1,0,,,5,5,29
63,2,3,286,3,ACCELERATING,false,0,4,0,1,0,,,5,5,29
64,2,3,289,3,ACCELERATING,false,0,4,0,1,0,,,5,5,29
65,2,3,292,3,ACCELERATING,false,0,4,1,1,0,,,5,5,33
66,2,3,295,3,ACCELERATING,false,0,4,1,1,0,,,6,5,37
67,2,3,298,3,ACCELERATING,false,0,4,2,1,0,,,6,5,41
68,2,3,301,3,ACCELERATING,false,0,4,2,1,0,,,6,5,41
69,2,3,304,3,ACCELERATING,false,0,4,2,1,0,,,6,5,41
70,2,3,307,0,HIT_MUD,false,0,5,2,1,0,,,6,5,32
71,2,3,307,0,FIXED_CAR,false,0,3,2,1,0,,,6,5,32
72,2,3,310,3,HIT_MUD,false,0,4,2,1,0,,,6,5,29
73,2,3,313,3,ACCELERATING,false,0,4,2,1,0,,,6,5,29
74,2,3,316,3,ACCELERATING,false,0,4,2,1,0,,,6,5,29
75,2,3,319,3,ACCELERATING,false,0,4,2,1,0,,,6,5,29
76,2,3,322,3,ACCELERATING,false,0,4,2,1,0,,,6,5,29
77,2,3,325,0,HIT_MUD,false,0,5,2,1,0,,,6,5,23
78,2,3,325,0,FIXED_CAR,false,0,3,2,1,0,,,6,5,23
79,2,3,328,3,ACCELERATING,false,0,3,2,1,0,,,6,5,23
80,2,3,334,3,HIT_MUD,false,0,4,4,1,0,,,6,5,28
81,2,3,337,3,ACCELERATING,false,0,4,4,1,0,,,7,5,32
82,2,3,340,0,HIT_MUD,false,0,5,4,1,0,,,7,6,33
83,2,3,340,0,FIXED_CAR,false,0,3,4,1,0,,,7,6,33
84,2,3,343,3,ACCELERATING,false,0,3,4,1,0,,,7,6,33
85,2,3,349,6,ACCELERATING,false,0,3,4,1,1,,,7,6,37
86,2,3,355,6,USED_BOOST,true,5,3,3,1,1,,,7,6,41
87,2,3,361,6,USED_BOOST,true,5,3,2,3,1,,,7,6,53
88,2,3,367,3,HIT_MUD,false,0,4,2,3,0,,,7,6,50
89,2,3,370,0,HIT_MUD,false,0,5,2,3,0,,,7,6,47
90,2,3,370,0,FIXED_CAR,false,0,3,2,3,0,,,7,6,47
91,2,3,373,3,ACCELERATING,false,0,3,2,3,0,,,7,6,47
92,2,3,379,6,ACCELERATING,false,0,3,2,3,0,,,7,6,47
93,2,3,385,6,USED_BOOST,true,5,3,1,3,0,,,7,8,59
94,2,3,391,3,HIT_MUD,false,0,4,0,3,0,,,7,8,60
95,2,3,394,0,HIT_WALL,false,0,5,0,3,0,,,7,8,55
96,2,3,394,0,FIXED_CAR,false,0,3,0,3,0,,,7,8,55
97,2,3,397,3,ACCELERATING,false,0,3,0,3,0,,,7,8,55
98,2,3,403,3,HIT_MUD,false,0,4,0,3,0,,,7,8,52
99,2,3,406,3,ACCELERATING,false,0,4,0,3,0,,,7,8,52
100,2,3,409,3,ACCELERATING,false,0,4,0,3,0,,,8,8,56
101,2,3,412,3,ACCELERATING,false,0,4,0,3,0,,,8,8,56
102,2,3,415,3,ACCELERATING,false,0,4,0,3,1,,,8,8,60
103,2,3,418,3,ACCELERATING,false,0,4,0,3,1,,,8,8,60
104,2,3,421,3,ACCELERATING,false,0,4,0,3,1,,,8,8,60
105,2,3,424,3,ACCELERATING,false,0,4,0,3,1,,,8,8,60
106,2,3,427,3,ACCELERATING,false,0,4,0,3,1,,,8,8,60
107,2,3,430,0,HIT_WALL,false,0,5,0,3,1,,,8,8,55
108,2,3,430,0,FIXED_CAR,false,0,3,0,3,1,,,8,8,55
109,2,3,433,3,ACCELERATING,false,0,3,0,3,1,,,8,8,55
110,2,3,439,6,ACCELERATING,false,0,3,0,3,2,,,8,8,59
111,2,3,445,6,ACCELERATING,false,0,3,0,3,2,,,8,9,63
112,2,3,451,6,ACCELERATING,false,0,3,0,3,2,,,8,9,63
113,2,3,457,6,ACCELERATING,false,0,3,0,3,2,,,8,9,63
114,2,3,463,6,USED_LIZARD,false,0,3,0,3,1,,,8,9,63
115,2,3,469,6,USED_LIZARD,false,0,3,0,3,0,,,8,9,63
116,2,3,475,6,ACCELERATING,false,0,3,0,3,0,,,8,9,63
117,2,3,481,6,ACCELERATING,false,0,3,0,3,1,,,8,9,67
118,2,3,487,6,USED_LIZARD,false,0,3,0,3,0,,,8,9,67
119,2,3,493,3,HIT_MUD,false,0,4,0,3,0,,,8,9,64
120,2,3,496,0,HIT_WALL,false,0,5,0,3,0,,,8,9,59
121,2,3,496,0,FIXED_CAR,false,0,3,0,3,0,,,8,9,59
122,2,3,499,3,ACCELERATING,false,0,3,0,3,0,,,8,9,59
123,2,3,505,0,HIT_MUD,false,0,5,0,3,0,,,8,9,53
124,2,3,505,0,FIXED_CAR,false,0,3,0,3,0,,,8,9,53
125,2,3,508,3,ACCELERATING,false,0,3,0,3,0,,,8,9,53
126,2,3,514,6,ACCELERATING,false,0,3,0,3,0,,,8,9,53
127,2,3,520,6,ACCELERATING,false,0,3,0,3,0,,,8,9,53
128,2,3,526,3,HIT_MUD,false,0,4,0,3,0,,,8,9,50
129,2,3,529,3,ACCELERATING,false,0,4,0,3,0,,,8,9,50
130,2,3,532,3,ACCELERATING,false,0,4,0,3,0,,,8,9,50
131,2,3,535,3,ACCELERATING,false,0,4,0,3,0,,,8,9,50
132,2,3,538,3,ACCELERATING,false,0,4,0,3,0,,,8,9,50
133,2,3,541,3,ACCELERATING,false,0,4,0,3,0,,,8,9,50
134,2,3,544,3,ACCELERATING,false,0,4,0,3,0,,,8,9,50
135,2,3,547,3,ACCELERATING,false,0,4,0,3,0,,,8,9,50
136,2,3,550,3,ACCELERATING,false,0,4,0,3,0,,,8,9,50
137,2,3,553,3,ACCELERATING,false,0,4,0,3,0,,,8,9,50
