Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,1,0,,,0,0,4
4,1,1,22,6,HIT_MUD,false,0,1,0,1,0,,,0,0,1
5,1,1,30,8,ACCELERATING,false,0,1,0,1,0,,,0,0,1
6,1,1,39,9,ACCELERATING,false,0,1,0,1,0,,,1,0,5
7,1,1,48,9,NOTHING,false,0,1,0,2,0,,,1,0,9
8,1,1,57,9,NOTHING,false,0,1,0,2,1,,,1,0,13
9,1,1,65,8,HIT_MUD,false,0,2,1,2,2,,,1,0,18
10,1,1,73,8,ACCELERATING,false,0,2,1,2,2,,,2,0,22
11,1,2,80,8,TURNING_RIGHT,false,0,2,1,2,2,,,2,0,22
12,1,2,88,8,ACCELERATING,false,0,2,1,2,2,,,2,0,22
13,1,2,96,8,ACCELERATING,false,0,2,1,2,2,,,2,0,22
14,1,2,104,8,ACCELERATING,false,0,2,1,2,2,,,2,0,22
15,1,2,112,8,ACCELERATING,false,0,2,1,2,2,,,2,0,22
16,1,2,120,8,ACCELERATING,false,0,2,1,2,2,,,2,0,22
17,1,2,128,8,ACCELERATING,false,0,2,1,2,2,,,2,0,22
18,1,1,135,8,TURNING_LEFT,false,0,2,1,4,2,,,2,0,30
19,1,1,143,8,ACCELERATING,false,0,2,1,5,2,,,2,0,34
20,1,1,151,8,ACCELERATING,false,0,2,1,5,2,,,2,0,34
21,1,1,159,8,ACCELERATING,false,0,2,1,5,2,,,2,0,34
22,1,1,166,0,HIT_WALL,false,0,5,1,5,2,,,2,0,26
23,1,1,166,0,ACCELERATING,false,0,5,1,5,2,,,2,0,26
24,1,1,166,0,ACCELERATING,false,0,5,1,5,2,,,2,0,26
25,1,1,166,0,ACCELERATING,false,0,5,1,5,2,,,2,0,26
26,1,1,166,0,ACCELERATING,false,0,5,1,5,2,,,2,0,26
27,1,1,166,0,ACCELERATING,false,0,5,1,5,2,,,2,0,26
28,1,1,166,0,ACCELERATING,false,0,5,1,5,2,,,2,0,26
29,1,1,166,0,ACCELERATING,false,0,5,1,5,2,,,2,0,26
30,1,1,166,0,ACCELERATING,false,0,5,1,5,2,,,2,0,26
31,1,1,166,0,ACCELERATING,false,0,5,1,5,2,,,2,0,26
